Round,train_losses,test_losses,accuracies,gradients
1,2.3025801181793213,0.0023058647394180298,10.11,0.2366990534808089
2,2.3106164932250977,0.0023050095319747926,10.17,0.2729412128272898
3,2.3101394176483154,0.0023037796020507813,10.19,0.24838982603755635
4,2.2984814643859863,0.0023022087574005126,10.26,0.20636694383955903
5,2.3047022819519043,0.002300697302818298,10.76,0.2406707125184016
6,2.2979331016540527,0.0022989583730697633,11.2,0.22281340966224217
7,2.2920923233032227,0.0022969743967056274,12.56,0.28466181988225153
8,2.2989566326141357,0.0022948253631591797,14.03,0.21179301109142593
9,2.303457498550415,0.0022923572301864624,16.11,0.2892988788645892
10,2.2821555137634277,0.0022897906541824342,18.16,0.2693957255369399
11,2.28769588470459,0.002287040185928345,19.99,0.23161303849971096
12,2.287119150161743,0.0022842634201049807,21.18,0.2516870739959935
13,2.299520254135132,0.0022809638500213623,22.09,0.2889695991841452
14,2.278514862060547,0.0022777261972427368,22.55,0.2676800495606517
15,2.276172161102295,0.0022740634202957155,23.28,0.2551593416020741
16,2.270230531692505,0.002269999074935913,24.14,0.31117238286253074
17,2.2720301151275635,0.0022656194686889648,25.15,0.299847156466518
18,2.26480770111084,0.002261065173149109,26.42,0.29107571625236
19,2.264336585998535,0.002256096363067627,28.3,0.28870430861620444
20,2.255591869354248,0.0022505381107330324,31.03,0.31933042454982913
21,2.2508769035339355,0.002244848990440369,34.1,0.340680187208768
22,2.238691806793213,0.0022387807130813597,36.28,0.3886775091515365
23,2.244492292404175,0.002232315468788147,38.9,0.32166553430847056
24,2.2466399669647217,0.0022245699405670167,42.46,0.34587963963285034
25,2.21977162361145,0.0022165132761001586,44.45,0.37631823415803306
26,2.214796781539917,0.002207332730293274,46.81,0.3851654127112709
27,2.213684320449829,0.0021984450578689577,48.84,0.39139454929632644
28,2.1990230083465576,0.002188374066352844,49.88,0.44718694781381346
29,2.194310188293457,0.0021769756317138672,51.31,0.4485448604614744
30,2.1579549312591553,0.002165088391304016,51.46,0.5053737296150482
31,2.1781117916107178,0.0021530688524246215,53.22,0.4682524156686892
32,2.1460745334625244,0.00213937132358551,54.48,0.492582297743874
33,2.143510341644287,0.002125225901603699,55.07,0.5015749101661579
34,2.143049955368042,0.002110357666015625,55.48,0.48881190497737714
35,2.073338508605957,0.0020934013605117797,55.14,0.6100114463408415
36,2.088878631591797,0.002075035619735718,55.52,0.5758004909545504
37,2.0924577713012695,0.0020568545818328856,55.69,0.5673955748330736
38,2.0442590713500977,0.0020346599102020265,55.42,0.666207788827076
39,2.0372586250305176,0.002013426625728607,55.2,0.5918733669839688
40,1.9963006973266602,0.0019912959575653076,54.59,0.6603552701250158
41,1.97737455368042,0.001964572238922119,54.2,0.6749361888642139
42,1.967477560043335,0.0019394647479057312,53.8,0.6263974885564927
43,1.9237974882125854,0.001912726926803589,53.42,0.6767539034542711
44,1.9175176620483398,0.0018848696827888489,53.33,0.641129103194604
45,1.9370629787445068,0.0018568007111549377,52.64,0.6062087344794667
46,1.8761839866638184,0.0018282557368278502,52.57,0.6596503648887759
47,1.7710412740707397,0.001800702440738678,52.67,0.75203643754405
48,1.8531622886657715,0.0017699647068977356,53.3,0.6826947519257869
49,1.7788175344467163,0.0017402204990386962,53.87,0.732414069789536
50,1.7432024478912354,0.00170954407453537,53.87,0.682589463221358
51,1.6250617504119873,0.001676461386680603,54.06,0.7574467837098261
52,1.6499547958374023,0.0016464889764785766,54.52,0.7418144781483169
53,1.7379547357559204,0.001613425612449646,55.58,0.7103069636193078
54,1.583063006401062,0.0015832768321037292,56.11,0.7108833756922248
55,1.588215947151184,0.0015537885785102843,56.99,0.7236778700906497
56,1.6790012121200562,0.0015261394500732423,57.65,0.782833724831661
57,1.530369520187378,0.0014982983589172363,58.34,0.7878221371214642
58,1.5531830787658691,0.001470803189277649,59.18,0.8169344715494152
59,1.4759161472320557,0.0014415030002593995,60.15,0.7620465363294704
60,1.4871351718902588,0.001412096393108368,60.95,0.8366891011470475
61,1.387355923652649,0.0013850792050361634,61.62,0.7413357062072264
62,1.4173792600631714,0.0013543976664543152,62.78,0.8387336293163794
63,1.2315043210983276,0.0013264973640441894,63.4,0.8270709590954632
64,1.418321132659912,0.001294482421875,64.06,0.8002940593138311
65,1.368908405303955,0.0012647705793380737,64.85,0.7806613695799401
66,1.245131015777588,0.001236895775794983,65.38,0.8492593690322132
67,1.3421685695648193,0.0012092308282852173,65.72,0.8570928724003747
68,1.25825035572052,0.0011846602201461792,65.96,0.8002529807502409
69,1.2834489345550537,0.0011583329916000367,66.65,0.948519487598208
70,0.9616249799728394,0.0011342663407325744,67.36,0.7355218238130683
71,1.1017512083053589,0.0011092206537723541,68.22,0.8026149929700177
72,1.0737203359603882,0.001085766613483429,68.97,0.740163963746189
73,1.0494784116744995,0.0010623328804969787,69.85,0.6384310651099993
74,1.03987455368042,0.0010395479381084443,70.62,0.7599546481791833
75,0.8894798159599304,0.0010184380054473877,71.11,0.7601313303454983
76,1.039474368095398,0.0009997610628604888,72.06,0.8773335666978684
77,0.9383293390274048,0.000977998948097229,73.09,0.726335093204787
78,0.9480376243591309,0.0009595529973506927,73.96,0.6309244728109429
79,0.9810461401939392,0.000940909343957901,74.83,0.6711304095411272
80,0.8949458599090576,0.0009237269341945648,75.11,0.8079085189697572
81,0.8532490134239197,0.0009060625553131104,75.79,0.804549436710499
82,0.8377838730812073,0.0008881915092468262,76.58,0.6466925910334218
83,0.8694615364074707,0.0008700611412525177,77.16,0.6772314887770846
84,0.854218065738678,0.000852674388885498,77.51,0.7279067892784787
85,0.8176748752593994,0.0008354679822921753,77.85,0.8729283528990344
86,0.7427458167076111,0.0008189826011657715,78.15,0.6740167052355358
87,0.8631892204284668,0.0008039851248264313,78.15,0.7451623597976895
88,0.7389932870864868,0.0007899533331394195,78.23,0.58555912993539
89,0.7111067771911621,0.00077562535405159,78.62,0.6365168705649582
90,0.9865618944168091,0.0007629369616508483,78.99,0.9801421407666364
91,0.9472283720970154,0.000752023595571518,79.33,1.0529785980539554
92,0.7950218915939331,0.0007423945605754852,79.95,0.906306907250639
93,0.7668800950050354,0.0007348461031913757,80.4,0.6392192292668235
94,0.6956514120101929,0.0007286006271839142,80.82,0.7494468253658811
95,0.7735727429389954,0.0007228471755981445,81.19,0.658433086935362
96,0.7643445134162903,0.0007132829546928406,81.59,0.8275538173978411
97,0.801347017288208,0.000704732882976532,81.92,0.8908393987671945
98,0.8466387391090393,0.0006936734080314637,82.4,0.9005129530938698
99,0.766126275062561,0.0006806505024433136,83.01,0.7070273597353799
100,0.6933816075325012,0.0006689070463180542,83.43,0.6800484703891476
101,0.9156965613365173,0.0006578048974275589,83.59,0.9486041340489119
102,0.836458146572113,0.000647720542550087,83.6,0.8318740780916423
103,0.5943582653999329,0.0006388493090867996,83.84,0.6733853090093229
104,0.6358494758605957,0.0006301740676164627,84.0,0.600134739132805
105,0.5712919235229492,0.0006218150049448014,84.24,0.6613690951957387
106,0.6010617613792419,0.0006136486291885376,84.18,0.6285040125629867
107,0.5895379185676575,0.0006057983368635177,84.28,0.6147691315521029
108,0.6402289867401123,0.000598502317070961,84.46,0.5946314318100214
109,0.7002967596054077,0.0005916825950145722,84.42,0.7153653161039496
110,0.6725748181343079,0.0005846395075321197,84.56,0.8733925511675998
111,0.724572479724884,0.0005778907299041748,84.78,0.7884488533120216
112,0.7554340362548828,0.0005716526389122009,85.04,0.8591439704600646
113,0.6698960065841675,0.0005641108840703965,85.22,0.7956460139884287
114,0.7435938715934753,0.0005577151656150818,85.54,1.1014437822501422
115,0.7421897649765015,0.0005513445138931274,85.91,0.7940448363473809
116,0.5116866827011108,0.0005452078968286514,86.0,0.6199432810375587
117,0.46583980321884155,0.0005392938613891601,86.37,0.5318687769510996
118,0.5661289691925049,0.0005335388362407684,86.56,0.8115939125339631
119,0.4802078306674957,0.0005282184332609177,86.51,0.7328003524778487
120,0.4666312634944916,0.0005230764865875244,86.57,0.5418023834091075
121,0.4899034798145294,0.0005178017258644104,86.7,0.6837246243914851
122,0.5039252638816833,0.0005143562525510788,86.77,0.6914834453131964
123,0.6099303960800171,0.0005106798976659775,86.82,0.8104472630664669
124,0.5824683904647827,0.0005066150158643723,86.87,0.7243302420161701
125,0.650407075881958,0.0005019529700279236,86.93,0.7946637395612397
126,0.505160391330719,0.0004964105159044266,87.01,0.7652082472300402
127,0.40738314390182495,0.0004913438826799392,87.16,0.5362239451939489
128,0.4471922814846039,0.0004865277141332626,87.26,0.551468713133335
129,0.4725167453289032,0.0004827729642391205,87.33,0.6172948232330371
130,0.5388625860214233,0.0004790410965681076,87.44,0.6180186018102017
131,0.5032430291175842,0.0004746938556432724,87.44,0.8256729240546685
132,0.616575300693512,0.0004707583636045456,87.46,0.7007199254935103
133,0.5042612552642822,0.00046707182824611666,87.6,0.5746518527967517
134,0.5586646795272827,0.00046374270021915437,87.67,0.8195091688972468
135,0.4701080024242401,0.0004608009546995163,87.66,0.7099115585104802
136,0.4911406636238098,0.00045718741416931154,87.83,0.6479953295439717
137,0.581479549407959,0.0004542404860258102,87.82,0.7848089198918398
138,0.5516269207000732,0.00045184273421764376,87.76,0.8633539725959594
139,0.5610049962997437,0.0004508890926837921,87.8,0.8009639464673044
140,0.37436342239379883,0.0004520168036222458,87.63,0.5676769854180616
141,0.377319872379303,0.0004537771761417389,87.52,0.5665674207533632
142,0.32968124747276306,0.00045574929416179657,87.58,0.6801099627706537
143,0.4781803488731384,0.0004562209218740463,87.66,0.7310262545323107
144,0.4636031985282898,0.00045458236932754514,87.85,0.7388363978044552
145,0.4076267182826996,0.0004532737284898758,87.86,0.5454530981851717
146,0.38495540618896484,0.00045135790407657624,87.79,0.4735522311660015
147,0.43132179975509644,0.00044909795224666593,87.73,0.6697307756200402
148,0.41564440727233887,0.00044706037044525145,87.6,0.5901231641755766
149,0.5769437551498413,0.0004446442127227783,87.49,1.144981573159464
150,0.42793890833854675,0.0004412386268377304,87.59,0.7456831574062489
151,0.43483301997184753,0.0004375196009874344,87.65,0.5637157022715314
152,0.5463312268257141,0.0004331086426973343,88.03,1.019979633456207
153,0.30681535601615906,0.00042901768386363983,88.29,0.5344364875498553
154,0.34678515791893005,0.00042538917064666745,88.37,0.5227318308522224
155,0.41179952025413513,0.0004227470636367798,88.5,0.7642043811325556
156,0.49492889642715454,0.0004196815997362137,88.61,0.7500802383166023
157,0.5124818682670593,0.0004172482579946518,88.61,0.6406389599612091
158,0.38414984941482544,0.0004153657302260399,88.61,0.5280891875103174
159,0.3043786585330963,0.0004128574326634407,88.63,0.4838952616669773
160,0.3955831229686737,0.00041035801619291305,88.73,0.5969882757042
161,0.4653422236442566,0.00040890680849552157,88.71,0.8676671138296578
162,0.4881230890750885,0.00040907128900289535,88.7,0.6220967688116867
163,0.5795552730560303,0.00040967259258031845,88.62,0.8132332265325835
164,0.429347962141037,0.00040974711030721667,88.59,0.542345239678304
165,0.34944015741348267,0.00041008706390857695,88.6,0.5490840915346029
166,0.3773469924926758,0.0004088220775127411,88.65,0.7432149868658772
167,0.3570482134819031,0.000406040333211422,88.76,0.7861687636009363
168,0.45291799306869507,0.0004029521882534027,88.79,0.7450785884976808
169,0.3605794608592987,0.00039946364909410477,88.98,0.6871893906227295
170,0.25437551736831665,0.0003962051779031754,89.08,0.6527075711919033
171,0.3930457532405853,0.00039304141104221346,89.18,1.1235558897975204
172,0.3759452998638153,0.00039042329639196396,89.34,0.6541276624847852
173,0.48915478587150574,0.00038872440457344057,89.26,0.8101482745784939
174,0.36843210458755493,0.00038737516850233076,89.02,0.6429206350061164
175,0.5070262551307678,0.0003853311985731125,89.01,0.8184905321300319
176,0.41954267024993896,0.0003855200469493866,88.86,0.7505764480223718
177,0.4233507513999939,0.0003842414155602455,88.86,0.8799493193272206
178,0.35064613819122314,0.00038234510421752927,88.96,0.7620985506784391
179,0.3139953911304474,0.0003792075887322426,89.04,0.8491443789182458
180,0.42750802636146545,0.0003755758538842201,89.44,0.7324553842025509
181,0.3228663206100464,0.00037260322570800784,89.57,0.6001554800603623
182,0.30267801880836487,0.0003697631523013115,89.66,0.7259393213501363
183,0.3699122965335846,0.0003669017434120178,89.66,0.5481899182492086
184,0.3761124014854431,0.0003640874058008194,89.79,0.6745306445013339
185,0.4238831102848053,0.00036172604113817217,89.88,0.5690030193707715
186,0.3523012697696686,0.0003596135541796684,89.85,0.6860063803922964
187,0.36451202630996704,0.00035787331163883207,89.91,0.5225121411632173
188,0.3001474440097809,0.00035651835948228834,90.02,0.645288075282861
189,0.5321261286735535,0.00035540190041065216,90.13,0.7212672830323209
190,0.34051045775413513,0.00035549091696739196,90.25,0.5739025237288324
191,0.5187550783157349,0.0003554662808775902,90.21,1.0029950532611909
192,0.5117236971855164,0.00035589592754840853,90.29,0.7201125740930928
193,0.4635726511478424,0.00035573582500219344,90.37,0.7521698640621769
194,0.4017179012298584,0.00035503800213336945,90.43,0.588249250503097
195,0.3112814128398895,0.0003548388406634331,90.39,0.48607255626183643
196,0.42154425382614136,0.000353987555205822,90.46,0.6514068178898734
197,0.4581718444824219,0.00035212554186582565,90.54,0.8081148808666868
198,0.22256989777088165,0.0003502167537808418,90.55,0.5779483355626935
199,0.35183289647102356,0.0003483884856104851,90.57,0.47247064048615317
