Round,train_losses,test_losses,accuracies,gradients
1,2.3126049041748047,0.002273418140411377,15.0,0.27001400675429027
2,2.2724432945251465,0.002239177441596985,23.72,0.3275894822542886
3,2.2406814098358154,0.0022020951986312866,38.25,0.3400658922976912
4,2.2209646701812744,0.0021606642961502077,47.77,0.356054956352016
5,2.1731019020080566,0.0021132537364959717,58.64,0.45632988585128226
6,2.120849847793579,0.0020597879648208616,65.0,0.5299700573561653
7,2.069728136062622,0.0020017574548721316,64.51,0.6691467477162164
8,2.0253355503082275,0.0019390389442443849,61.67,0.6746802273827219
9,1.9441567659378052,0.0018723913908004761,60.39,0.7606275505333975
10,1.8809804916381836,0.0018038731098175048,58.93,0.7610342740989194
11,1.834716796875,0.0017337756037712098,58.29,0.8312012281907997
12,1.7394969463348389,0.0016642540097236633,58.57,0.8877077088921298
13,1.5833637714385986,0.0015950689435005189,59.78,0.959114724164942
14,1.567908525466919,0.0015284436345100402,61.33,0.8604819777817551
15,1.5422558784484863,0.001463312530517578,63.62,0.7806614308944364
16,1.3886319398880005,0.0013997525453567504,65.16,0.8531724977255922
17,1.391294002532959,0.001340333890914917,67.08,1.0077025775744404
18,1.3206373453140259,0.0012862351298332214,67.93,0.8013194591582006
19,1.28999662399292,0.0012391368865966796,68.57,0.8999625285275858
20,1.225978136062622,0.001194016134738922,69.1,0.7616200902151926
21,1.1698150634765625,0.0011506875991821289,70.28,0.8737205425263068
22,1.0664737224578857,0.001111838459968567,70.86,0.7950519909624616
23,1.1431453227996826,0.001074478405714035,71.85,0.6808995432168586
24,1.0501339435577393,0.0010395836412906646,72.94,0.7116109906269096
25,1.0807358026504517,0.0010075039505958558,73.86,0.9210429993692486
26,1.0213234424591064,0.0009798566281795501,74.68,0.7844069793475316
27,1.0331937074661255,0.0009554721236228943,75.66,0.6562622468410738
28,0.8907983303070068,0.0009341219186782837,75.99,0.6525747178435378
29,0.9371036291122437,0.0009125065445899964,76.66,0.7319112416976018
30,0.8271911144256592,0.0008913688957691193,77.61,0.6272233033064029
31,0.9056471586227417,0.0008693071603775024,78.99,0.8416265520427209
32,0.8968320488929749,0.0008455290019512176,80.04,0.7331654191435126
33,0.7981871962547302,0.000822490805387497,80.68,0.7078857063041999
34,0.7603228092193604,0.0008012373864650726,81.16,0.6145892780541614
35,0.6822328567504883,0.0007792929708957672,81.48,0.6258069595112759
36,0.7791969180107117,0.0007575167179107666,82.0,0.669311245133607
37,0.7681598663330078,0.000738290923833847,82.7,0.7709941587496495
38,0.719584584236145,0.0007228601813316345,83.06,0.6267970130495295
39,0.7703045010566711,0.0007087579548358917,83.15,0.8031442779692116
40,0.755634069442749,0.0006954215764999389,83.1,0.6214264757912468
41,0.7450565695762634,0.0006840935945510864,82.97,0.5948875413184935
42,0.6325188279151917,0.0006721486032009125,82.96,0.6711554021350178
43,0.6726195216178894,0.0006601808160543442,82.95,0.618089005312868
44,0.6278882026672363,0.000649052894115448,83.19,0.5941524439227125
45,0.6972824335098267,0.0006406590312719345,83.17,0.6407838432060603
46,0.5550716519355774,0.0006329777151346206,82.98,0.532494107633031
47,0.5088307857513428,0.0006243930757045746,83.08,0.5150742103072122
48,0.5923623442649841,0.0006136854916810989,83.36,0.6014911437693935
49,0.5800612568855286,0.0006043155193328857,83.71,0.6810649772177072
50,0.5795949101448059,0.0005931904971599579,84.13,0.5007171921645711
51,0.4109239876270294,0.0005816434264183045,84.58,0.44315402883518423
52,0.5222499370574951,0.0005702343434095383,85.13,0.537136076582898
53,0.6532183289527893,0.0005590997844934463,85.57,0.6725155698079889
54,0.657841682434082,0.0005496739506721497,86.14,0.7594000796166669
55,0.5127415060997009,0.0005430644869804382,86.52,0.7377789906952374
56,0.6233615875244141,0.0005394083619117737,86.43,0.6349739258548303
57,0.5232066512107849,0.0005383057475090027,86.19,0.48915820928888243
58,0.5255659818649292,0.0005370220065116883,86.04,0.6827947508211791
59,0.5312628746032715,0.0005316450983285904,86.1,0.7877278964526986
60,0.552739679813385,0.0005228688180446625,86.37,0.7376052410218643
61,0.6823760271072388,0.0005122258007526398,86.69,0.7697612002158466
62,0.5464843511581421,0.000501081246137619,87.15,0.9050924712590327
63,0.4779354929924011,0.0004925616353750229,87.39,0.7420488534560419
64,0.6674959063529968,0.00048735128045082095,87.41,0.7120344035228691
65,0.487367182970047,0.000485164675116539,87.31,0.5465307452891974
66,0.4670768976211548,0.000485300076007843,86.83,0.5972069948406817
67,0.5981358289718628,0.0004840969383716583,86.77,0.666041372355577
68,0.6544477343559265,0.00048126858472824095,86.71,0.7314860669043697
69,0.7828954458236694,0.00047424100637435913,87.1,1.0010051309153103
70,0.3787716031074524,0.0004671666145324707,87.32,0.7656415311883566
71,0.4740171432495117,0.0004610974371433258,87.53,0.585459771884403
72,0.5304655432701111,0.00045891495048999784,87.49,0.6448441361685501
73,0.491340696811676,0.000459401935338974,87.2,0.5350229307320591
74,0.47392112016677856,0.0004618347764015198,86.62,0.5503560911409364
75,0.36227864027023315,0.00046362232565879823,86.35,0.5983536383120057
76,0.43546441197395325,0.00046233744025230407,86.34,0.6293521176424538
77,0.38525277376174927,0.00045957187712192537,86.65,0.615376577763932
78,0.43445688486099243,0.0004556538432836533,87.06,0.6174268271412009
79,0.518237829208374,0.0004490766257047653,87.52,0.8027983569285823
80,0.5793995261192322,0.0004400285691022873,87.79,1.4792116923144827
81,0.35351669788360596,0.0004323540210723877,88.03,0.8032520225349992
82,0.315960556268692,0.00042698836922645567,88.12,0.6174256488770699
83,0.39650312066078186,0.0004223061665892601,88.33,0.5478885524230228
84,0.38997212052345276,0.0004178254812955856,88.52,0.4222989916240215
85,0.33064088225364685,0.0004147005632519722,88.55,0.636165351004363
86,0.37148499488830566,0.00041223997175693513,88.56,0.46713379730402077
87,0.4260803163051605,0.00040974097698926923,88.6,0.5851089563575796
88,0.3372744917869568,0.00040728830844163894,88.86,0.41407126320638116
89,0.3558000326156616,0.000404757484793663,88.97,0.4458090064711894
90,0.593966007232666,0.00040236130505800246,89.05,0.7823807414946783
91,0.6127358078956604,0.0004002719417214394,89.06,1.0915849544596223
92,0.40226200222969055,0.00039834666699171067,89.11,0.7634892971566593
93,0.3228771388530731,0.0003981112107634544,88.94,0.5800707185553594
94,0.3277415335178375,0.00039922379106283187,88.99,0.5779445010052678
95,0.44780394434928894,0.00040121790617704393,88.89,0.6165255332177435
96,0.4169040322303772,0.00040076704770326615,88.92,0.7453132982301576
97,0.5770358443260193,0.00039706646651029584,89.02,0.8631598635464132
98,0.6283586025238037,0.00039249220341444017,89.28,0.8424270302259396
99,0.4857603907585144,0.0003875927746295929,89.42,0.6967664904768156
100,0.3432827889919281,0.00038378968983888626,89.42,0.44002043264351776
101,0.5942736864089966,0.0003802563264966011,89.57,0.6464651683222786
102,0.5358662009239197,0.0003759848654270172,89.73,0.8076965268551455
103,0.32461005449295044,0.0003725448802113533,89.94,0.5556172298318911
104,0.37256795167922974,0.00036974770575761795,89.94,0.4793713179609252
105,0.30344057083129883,0.0003677425265312195,90.11,0.36344155013690604
106,0.36898404359817505,0.0003662221014499664,90.12,0.4746150963416321
107,0.4572128355503082,0.0003639163866639137,90.02,0.6674436640574339
108,0.40886712074279785,0.0003621612846851349,90.06,0.5822734933834043
109,0.5287868976593018,0.00035905661135911943,90.16,0.6930441284631297
110,0.48992764949798584,0.00035582386553287504,90.09,0.6493615855925525
111,0.4637698829174042,0.00035178852528333664,90.27,0.7743344357673765
112,0.45653337240219116,0.0003480752095580101,90.41,0.8216660386124618
113,0.40021127462387085,0.0003450255200266838,90.44,0.6135259519029383
114,0.47355008125305176,0.00034210028797388077,90.55,1.2259746465348589
115,0.6039047837257385,0.000340021114051342,90.72,0.655966818482182
116,0.3097831904888153,0.00033809235990047456,90.64,0.5763280884619449
117,0.2536545693874359,0.00033663378357887266,90.73,0.41919481815986864
118,0.33417895436286926,0.0003354059770703316,90.71,0.5450298418352065
119,0.3124205768108368,0.0003344160124659538,90.67,0.45184451374410195
120,0.29274362325668335,0.00033344627767801285,90.7,0.3824332694865321
121,0.3158644437789917,0.0003325025960803032,90.75,0.7006618094057087
122,0.38052260875701904,0.0003319460183382034,90.77,0.5988344582509854
123,0.518348217010498,0.00033161336332559587,90.59,0.7820158447451446
124,0.4300583004951477,0.00033185204416513443,90.49,0.6763240434799774
125,0.47022199630737305,0.00033285497575998306,90.46,0.6614254524911757
126,0.3603486120700836,0.0003339327335357666,90.37,0.5573899577790873
127,0.2643609642982483,0.00033325901329517364,90.32,0.7133887593665564
128,0.30321916937828064,0.0003306680992245674,90.43,0.5562935974185051
129,0.31407296657562256,0.000328237321972847,90.58,0.5360408293392386
130,0.41250428557395935,0.00032744360268116,90.78,0.4797844968743396
131,0.3593437075614929,0.00032576075941324233,90.81,0.6780797644951848
132,0.4110507369041443,0.00032463430017232896,90.87,0.5822938438029872
133,0.35589659214019775,0.0003233470216393471,90.84,0.5553043642089766
134,0.41206762194633484,0.0003228904917836189,90.76,0.5680015493366076
135,0.269066721200943,0.00032210536003112795,90.72,0.531795209497348
136,0.3162915110588074,0.0003212273448705673,90.78,0.460210772981754
137,0.4111323356628418,0.00032039034217596057,90.79,0.6476001174725535
138,0.3917388319969177,0.0003174565464258194,90.91,0.8890604183891686
139,0.37103891372680664,0.00031382042169570925,90.88,0.8273563386628806
140,0.275537371635437,0.0003119200676679611,90.95,0.4951330782319192
141,0.25716888904571533,0.00031092481464147566,91.03,0.46204640257920515
142,0.16792097687721252,0.0003106377795338631,91.16,0.36329601754708296
143,0.3296704590320587,0.0003089823931455612,91.2,0.72981600800387
144,0.31843581795692444,0.00030784638971090316,91.17,0.822827963644177
145,0.2708032429218292,0.00030883683711290357,91.22,0.4210350668527326
146,0.22591568529605865,0.0003098478138446808,91.18,0.40817715639851054
147,0.2883166968822479,0.0003090937465429306,91.23,0.5983090466500215
148,0.26707959175109863,0.00030869126468896865,91.13,0.5595601206914396
149,0.3553082048892975,0.0003069805353879929,91.29,0.8562367240728844
150,0.269588440656662,0.00030346981585025785,91.4,0.6850894493200611
151,0.32251158356666565,0.00029963927417993546,91.52,0.5929774253071708
152,0.32290899753570557,0.0002939144089818001,91.84,0.7962631661620173
153,0.1725333034992218,0.0002899385154247284,92.04,0.41576990495403915
154,0.23016226291656494,0.0002888407081365585,91.9,0.368553044285455
155,0.29388049244880676,0.0002894423067569733,91.99,0.6125832241848048
156,0.38985389471054077,0.0002903267964720726,91.83,0.8475731534469092
157,0.3990229368209839,0.000291483935713768,91.75,0.48821617434510545
158,0.24677076935768127,0.0002921161890029907,91.69,0.4789353434515789
159,0.19945533573627472,0.0002908685699105263,91.7,0.45842806251596513
160,0.28515154123306274,0.0002891659215092659,91.76,0.6190237864941547
161,0.3159363567829132,0.0002883909836411476,91.71,0.5457330646639627
162,0.37233108282089233,0.00028787290155887605,91.73,0.5701094771031824
163,0.43025103211402893,0.0002873661682009697,91.68,0.6368763851209749
164,0.31186461448669434,0.0002861499413847923,91.66,0.4713088476136101
165,0.2372957170009613,0.00028484063744544985,91.75,0.3572010938700903
166,0.2704044580459595,0.00028278043270111084,91.81,0.6067273009299275
167,0.21506956219673157,0.0002805440589785576,91.86,0.48361795078468417
168,0.3336337208747864,0.0002768590971827507,91.99,0.8984729169549608
169,0.18351136147975922,0.00027451692819595335,92.02,0.45003564141083535
170,0.11383037269115448,0.0002734481170773506,92.11,0.31968622567459876
171,0.28334081172943115,0.0002725851997733116,92.12,0.7691669379576513
172,0.23277665674686432,0.000272797130048275,92.06,0.5015510062830566
173,0.4247303009033203,0.0002724866360425949,92.12,0.7037877399810574
174,0.2797660827636719,0.0002714930385351181,92.15,0.7865707889552828
175,0.37767431139945984,0.0002705445498228073,92.18,0.6516129871340639
176,0.4069786071777344,0.0002716642379760742,92.1,1.084236301350035
177,0.3071366548538208,0.0002717997506260872,92.04,0.7818130501912874
178,0.26001670956611633,0.00027315654158592225,91.92,0.5250302083678795
179,0.19105283915996552,0.00027239368557929993,91.99,0.692912394051534
180,0.301315039396286,0.000271891987323761,92.06,0.4769137238596196
181,0.2291174978017807,0.0002710384204983711,92.14,0.42374405240168406
182,0.2299344390630722,0.0002688288748264313,92.23,0.5184149391891926
183,0.26118218898773193,0.00026610395461320875,92.33,0.489501683129658
184,0.2994215786457062,0.0002622066155076027,92.56,0.782705963116049
185,0.29323211312294006,0.00025880053490400315,92.63,0.4557223149337898
186,0.2263249158859253,0.0002567944779992104,92.75,0.5177105028634862
187,0.22577166557312012,0.00025539549589157103,92.88,0.328145555773808
188,0.18354904651641846,0.0002541247993707657,92.9,0.460276233686086
