Round,train_losses,test_losses,accuracies,gradients
1,2.3036766052246094,0.002293877935409546,14.9,0.27760534634506073
2,2.2890877723693848,0.002283218431472778,10.0,0.2727808600706111
3,2.285799026489258,0.0022702172040939333,11.65,0.3963803903605733
4,2.2554805278778076,0.002255595827102661,16.16,0.3140092064623775
5,2.243328332901001,0.0022318535089492796,21.84,0.5039006372747404
6,2.291559934616089,0.0021990639448165893,25.2,0.6557491751826745
7,2.206289291381836,0.0021717875957489013,25.55,0.6528216953007251
8,2.1627604961395264,0.0021401676177978516,24.9,0.8060284967578076
9,2.1013741493225098,0.0021025944232940675,23.97,0.9025849054462539
10,2.0888826847076416,0.002073958158493042,23.94,0.895653247345405
11,2.0772085189819336,0.0020598060607910154,25.04,0.7413800151189238
12,2.050621509552002,0.0020169200658798217,26.3,1.922345324555515
13,2.037341356277466,0.001990453851222992,27.88,1.0308486103125833
14,2.0966289043426514,0.001980756628513336,29.35,1.9549429302251835
15,2.216886281967163,0.0019697192311286926,30.83,2.139121700575485
16,1.921202301979065,0.001970506238937378,30.97,0.8463917710148187
17,1.9944084882736206,0.001953588080406189,31.26,1.5167796712646757
18,1.8896405696868896,0.001946915578842163,31.43,1.32116110392768
19,1.9701917171478271,0.0019228026628494263,31.59,2.0296556278933506
20,1.95170259475708,0.001914073896408081,31.2,1.174239063492426
21,1.9386179447174072,0.0019032009482383729,31.15,1.5561877867893192
22,1.7886172533035278,0.001904024577140808,30.75,1.3023711714514132
23,1.9323822259902954,0.0018953730940818787,31.55,1.4829095678630357
24,2.02392315864563,0.0018751373291015624,31.9,2.160773696639193
25,1.8839304447174072,0.0018750321984291076,31.8,1.0992704311491528
26,1.887892484664917,0.0018817115545272827,31.28,1.2263544876222738
27,1.8105504512786865,0.001870408320426941,31.46,1.8853484893639278
28,1.916167140007019,0.0018627116560935974,32.19,2.2875674752047104
29,1.8066781759262085,0.0018685735821723937,32.75,1.8540789409498803
30,1.9809356927871704,0.001853010857105255,33.51,2.2960234150154406
31,1.8738234043121338,0.0018346388697624207,34.82,1.5694129313829264
32,1.7893092632293701,0.0018328846096992493,35.11,1.2070974230652358
33,1.8335143327713013,0.0018560135126113892,34.71,1.6662986238034339
34,1.8151543140411377,0.0018657485842704772,33.86,1.7400026672946258
35,1.873990774154663,0.0018514516830444336,33.62,1.6508740803415995
36,1.8371933698654175,0.0018118128180503845,34.61,2.257814673372117
37,1.820266604423523,0.0017868025064468383,36.24,2.271687397712875
38,1.79551100730896,0.001775653111934662,36.61,1.7162863709980019
39,1.8135040998458862,0.001787287414073944,35.77,1.637505678329763
40,2.0166656970977783,0.0017923203349113465,35.31,2.8864553670367554
41,1.78290855884552,0.0017510747671127319,36.61,4.120426012454893
42,1.7495371103286743,0.0017494158387184142,36.22,1.5234869674249036
43,1.6223033666610718,0.0017863559722900392,35.47,1.3621477540494915
44,1.7654261589050293,0.0017813799262046813,35.69,2.8433370614288336
45,1.783382773399353,0.0017456990480422974,36.65,3.4212260096312663
46,1.6284091472625732,0.0017501253128051758,37.43,1.3929163903011306
47,1.7448245286941528,0.0017576154828071594,37.55,2.2477805971416216
48,1.7619855403900146,0.0017309949994087218,37.64,2.828782331333633
49,1.6792833805084229,0.001703002119064331,38.47,2.778034969262835
50,1.7043704986572266,0.001706427490711212,39.01,1.8014563043619134
51,1.8246872425079346,0.0016936891794204713,39.71,3.2348978023795643
52,1.599523663520813,0.001687284541130066,39.26,2.475514406283881
53,1.7642282247543335,0.0017023645281791686,37.49,1.3089180860638754
54,1.6283156871795654,0.0017085777282714843,37.37,2.1012884868246484
55,1.6698721647262573,0.001700432002544403,37.8,2.177824437186118
56,1.5260493755340576,0.001677262270450592,38.02,2.2554165556466788
57,1.6955724954605103,0.001656349468231201,39.04,2.0167022246834043
58,1.618319034576416,0.0016869134426116944,38.85,2.8441623599887107
59,1.7536039352416992,0.001709419858455658,38.41,2.5558483668171177
60,1.7779210805892944,0.0016406239867210388,39.34,5.699372764787256
61,1.6777329444885254,0.0016860695004463195,37.45,3.093733124226801
62,1.7148791551589966,0.00171859050989151,37.09,4.536504761476969
63,1.7411043643951416,0.0016683675289154052,39.14,6.11485195612226
64,1.635345220565796,0.0016564945220947265,38.99,3.5253114848043428
65,1.7163565158843994,0.001676086461544037,38.77,2.7906624992254705
