Round,train_losses,test_losses,accuracies,gradients
1,2.3013041019439697,0.002302536678314209,10.98,0.3215089079784952
2,2.3011605739593506,0.002300875377655029,11.11,0.3656035556505285
3,2.3015809059143066,0.002298573803901672,11.55,0.33831519917534375
4,2.293884515762329,0.002295780038833618,12.0,0.29592818015786515
5,2.3007168769836426,0.0022924582958221435,12.52,0.33210262144169944
6,2.2883152961730957,0.0022886982440948485,13.23,0.3035855632214317
7,2.2873470783233643,0.002284591007232666,13.67,0.35748194466413447
8,2.286001682281494,0.0022803471326828004,14.24,0.29740110078845994
9,2.2849042415618896,0.0022755139112472533,14.64,0.3754569514124187
10,2.2702102661132812,0.0022704386234283446,15.15,0.34253280220775467
11,2.2760725021362305,0.0022648415088653566,16.05,0.33307237864581957
12,2.2662336826324463,0.002259009337425232,17.6,0.3500812775319281
13,2.2665369510650635,0.0022523422241210937,20.33,0.40455553297727154
14,2.2591824531555176,0.002245338225364685,24.9,0.35491759176989257
15,2.2410500049591064,0.002237970757484436,31.46,0.3674519926698427
16,2.2362022399902344,0.002229693818092346,36.81,0.4141524217021121
17,2.2341079711914062,0.0022213378429412844,41.04,0.4243394155265219
18,2.218585729598999,0.0022121357917785646,45.4,0.4165109917851134
19,2.216108560562134,0.002202214622497559,49.33,0.4347318698837264
20,2.207915782928467,0.0021916614770889284,52.4,0.42519152500028307
21,2.176866054534912,0.002179529285430908,54.97,0.4868015915242247
22,2.175037145614624,0.0021661786794662475,57.14,0.5391449157731044
23,2.1793768405914307,0.0021516090631484987,58.77,0.45544078994222575
24,2.1607441902160645,0.0021364452838897705,59.7,0.4994183219304486
25,2.132338047027588,0.0021198349952697756,60.2,0.5512010954806685
26,2.1187820434570312,0.002102553606033325,60.52,0.5590265926877449
27,2.1120822429656982,0.0020831689357757566,60.83,0.5508836999459981
28,2.0771303176879883,0.0020628361225128173,61.22,0.6129250892297957
29,2.0502700805664062,0.002039451813697815,61.49,0.6579614831568431
30,2.033088207244873,0.0020147812724113463,61.35,0.6656871635814089
31,2.01336407661438,0.0019888837337493897,61.42,0.6654650132241606
32,1.9817824363708496,0.001961507570743561,61.39,0.67656670540641
33,1.9480350017547607,0.0019326608300209045,61.57,0.7151994958198852
34,1.9287577867507935,0.001901473867893219,61.68,0.7024628651155921
35,1.8454099893569946,0.0018681476354598999,61.64,0.7898174562447519
36,1.8924745321273804,0.001834821093082428,61.96,0.708337101063753
37,1.851804256439209,0.0018015971302986144,62.02,0.7504983739534733
38,1.7630128860473633,0.0017663119673728943,62.0,0.8565312383342835
39,1.7653191089630127,0.0017313552975654603,62.36,0.7342268494868266
40,1.6964287757873535,0.0016957673072814942,62.22,0.7494219556522214
41,1.7090212106704712,0.0016616668820381164,62.12,0.7696634430594731
42,1.6747075319290161,0.0016275482892990113,62.09,0.7615660602596303
43,1.6226648092269897,0.0015942726612091064,62.02,0.7258741757761072
44,1.6042330265045166,0.0015609174013137817,61.86,0.6958494875489587
45,1.6342681646347046,0.0015276206851005554,61.9,0.7233318673964706
46,1.5430972576141357,0.0014943306207656861,62.01,0.7068141948733239
47,1.4264284372329712,0.0014631359696388245,62.09,0.7956104224463331
48,1.4763988256454468,0.0014330256819725037,62.33,0.7563172208646426
49,1.4719557762145996,0.0014040734529495238,62.3,0.7112428674015523
50,1.4194209575653076,0.0013766088485717774,62.59,0.6911175520274291
51,1.2601350545883179,0.0013470791101455688,63.04,0.7752398310648949
52,1.3357551097869873,0.0013195240259170533,63.7,0.9018941489715188
53,1.4916335344314575,0.001291383409500122,64.62,0.9755743213010408
54,1.2489076852798462,0.0012652066946029663,65.57,0.6608988796007358
55,1.2896713018417358,0.0012398449301719665,66.54,0.8209116627276194
56,1.3845518827438354,0.0012162888526916504,67.5,0.8900633387744346
57,1.27152419090271,0.0011941305994987489,68.37,0.8122161398000591
58,1.2201143503189087,0.0011749203681945802,69.16,0.7744607070496883
59,1.1601622104644775,0.0011553464889526366,69.73,0.6693121924004775
60,1.144791603088379,0.0011342784762382507,70.53,0.8280038273718301
61,1.2000735998153687,0.0011129109740257263,71.23,0.8447419911139552
62,1.106918454170227,0.001090821373462677,71.86,0.7270427152166244
63,1.0027204751968384,0.0010698618113994598,72.47,0.9086682129849657
64,1.1632089614868164,0.0010476314067840576,73.35,0.7667665373046164
65,1.0696330070495605,0.0010262296557426453,74.08,0.7360786295001854
