Round,train_losses,test_losses,accuracies,gradients
1,2.3018577098846436,0.002261657977104187,11.49,0.3031416767827005
2,2.2646329402923584,0.002219391655921936,33.86,0.39928823615030057
3,2.2168874740600586,0.002173103976249695,44.93,0.3927789172892415
4,2.194214344024658,0.002121836256980896,49.59,0.4121637586072035
5,2.1353166103363037,0.0020646291971206667,52.8,0.5098214624260166
6,2.072946310043335,0.002001452088356018,56.33,0.5764425200568467
7,2.028985023498535,0.0019348156929016114,60.53,0.7045655706396474
8,1.965294361114502,0.0018641923785209656,62.1,0.7054092210874816
9,1.8736860752105713,0.0017909939527511597,62.98,0.7954616064274077
10,1.801372766494751,0.0017172518491744995,63.09,0.7514285610847308
11,1.7571532726287842,0.0016436830043792725,63.47,0.8195918374911145
12,1.6312483549118042,0.001571590745449066,63.8,0.8943551243544416
13,1.4967427253723145,0.0015011343836784363,64.74,0.9330115356216003
14,1.4797106981277466,0.0014335267305374145,65.52,0.8267662803880697
15,1.448365330696106,0.0013692477464675903,66.58,0.7527141329884797
16,1.3144298791885376,0.0013077738404273986,67.95,0.8045977928864452
17,1.2933601140975952,0.0012499829053878783,69.12,0.9001258004195856
18,1.2114431858062744,0.0011972891449928283,70.1,0.7368602436539617
19,1.1948378086090088,0.0011496164321899414,71.14,0.8680754065606586
20,1.1257829666137695,0.0011040286898612976,72.14,0.7774814457494618
21,1.0761853456497192,0.0010612433195114135,73.08,0.7963876045069398
22,0.9630391597747803,0.0010223119437694549,73.55,0.7424455402971907
23,1.0732396841049194,0.0009849502623081208,74.58,0.6428157278045264
24,0.965321958065033,0.0009496645748615265,75.73,0.7014574172057781
25,0.9873596429824829,0.0009178622305393219,76.65,0.9076023315233551
26,0.9082763195037842,0.0008915294528007507,77.35,0.7298755585304698
27,0.9213132262229919,0.0008684855401515961,78.05,0.6118846138562251
28,0.8777353763580322,0.0008468155384063721,78.92,0.6423865717569563
29,0.8702141642570496,0.000825200754404068,79.96,0.7393164911950236
30,0.7372207045555115,0.0008039920628070831,80.76,0.6432191939764044
31,0.8508343696594238,0.0007834607005119324,81.55,0.7798606831605457
32,0.8184675574302673,0.0007633285343647004,82.14,0.6571298884114474
33,0.7851513028144836,0.0007433488726615906,82.5,0.7745407446821501
34,0.6860705614089966,0.0007250191867351532,82.67,0.586420667814147
35,0.6167745590209961,0.0007062611401081085,82.85,0.568031385568416
36,0.7354099750518799,0.0006874246120452881,83.11,0.6660829246335126
37,0.723006010055542,0.0006694890022277832,83.66,0.7365259413085867
38,0.6808218955993652,0.0006537010848522186,83.9,0.653809976881966
39,0.6880600452423096,0.0006398361980915069,84.13,0.7921468685655003
40,0.7101038098335266,0.0006275278955698014,84.26,0.6153721023392434
41,0.6928243637084961,0.000617276707291603,84.36,0.5234446017148762
42,0.5330134034156799,0.0006073148012161255,84.54,0.5619140608555929
43,0.5990639925003052,0.000597253343462944,84.67,0.5875757232530563
44,0.5547696948051453,0.0005874707370996475,84.6,0.5357982810116952
45,0.6559427976608276,0.000579595959186554,84.5,0.7198632499462086
46,0.4868668019771576,0.0005721512198448181,84.62,0.4960359271101702
